AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A716760,Dasher,12/6/15 17:08,1,,Dog,Male,<1,Border Collie Mix,Black/White
A709048,Libby,8/8/15 17:58,1,,Dog,Female,<1,Labrador Retriever Mix,Black/White
A707437,,7/19/15 17:26,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A706387,Sugar,7/6/15 18:05,1,,Cat,Female,<1,Domestic Shorthair Mix,Blue Tabby/White
A708769,Keyla,8/1/15 11:54,1,,Dog,Female,<1,Chihuahua Shorthair Mix,White/Tan
A681462,Samson,8/10/14 16:25,1,,Dog,Male,2,Labrador Retriever/Rottweiler,Black/Brown
A701153,,6/25/15 9:31,1,Foster,Dog,Male,<1,Dachshund/Manchester Terrier,Tricolor
A714602,Stripey,10/29/15 18:44,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A700707,Sallie,4/20/15 14:41,1,,Dog,Female,<1,Plott Hound/Labrador Retriever,Black/Brown Brindle
A701999,Luna,5/12/15 17:39,1,,Dog,Female,2,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A680585,Olivia,7/16/14 17:48,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A702246,,5/15/15 17:47,1,,Dog,Female,<1,Miniature Poodle Mix,Black/White
A711918,Jaqueline,9/19/15 14:33,1,,Dog,Female,3,Jack Russell Terrier/Pit Bull,Red
A676430,Tabitha,11/23/14 12:43,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A677577,Roxie,5/1/14 16:12,1,,Dog,Female,<1,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A713754,Harper,10/27/15 16:44,1,,Dog,Male,<1,Catahoula Mix,Blue Merle
A703631,Hanley,7/3/15 18:50,1,,Dog,Male,<1,Labrador Retriever Mix,Black/White
A676209,Boomer,7/24/14 15:02,1,Foster,Dog,Male,<1,Labrador Retriever Mix,Yellow
A667963,,11/30/13 18:48,1,,Dog,Female,5,Dachshund Longhair Mix,Tan/White
A702207,,5/10/15 17:16,0,Suffering,Cat,Male,12,Domestic Longhair Mix,Orange Tabby/White
A672065,Dutchess,4/8/14 12:50,1,,Dog,Female,2,German Shepherd Mix,Sable
A688852,Buddy,10/18/14 18:48,1,,Dog,Male,6,Labrador Retriever Mix,Black/White
A705885,Meowser,6/27/15 18:24,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A691636,Dali,11/13/14 16:07,1,,Dog,Male,<1,Dachshund/Jack Russell Terrier,White/Brown
A678482,,5/14/14 19:15,1,,Dog,Male,2,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Bella,12/30/14 9:38,1,Foster,Dog,Female,2,Whippet Mix,Brown Brindle/White
A718547,,1/11/16 14:23,1,,Dog,Female,2,Labrador Retriever Mix,Tan/White
A674737,Byron,5/27/14 8:21,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black
A676626,Pia,5/30/14 16:54,1,Foster,Dog,Female,<1,English Pointer Mix,Brown/White
A666478,Bleu,11/4/13 17:51,1,,Dog,Female,<1,Miniature Schnauzer/Yorkshire Terrier,Black/White
A683507,,7/15/14 17:26,1,,Dog,Female,3,Cairn Terrier Mix,Buff
A487470,Midnight,1/20/14 18:40,0,Aggressive,Dog,Male,9,Labrador Retriever/Pit Bull,Black
A616229,Rebecca,11/21/15 15:21,1,,Cat,Female,6,Domestic Shorthair Mix,Black/White
A680336,Buddy,7/12/14 20:04,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A666971,,11/14/13 17:14,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A705111,Kiki,6/24/15 15:25,1,,Dog,Female,2,Chihuahua Shorthair Mix,Brown/Black
A685460,Jerrid,8/19/14 18:25,1,,Cat,Male,7,Siamese Mix,Flame Point
A716890,Vidalia,12/6/15 12:41,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A715741,Simba,11/19/15 18:45,1,,Dog,Male,3,Chow Chow Mix,Red
A668122,,12/1/13 17:58,1,,Dog,Female,7,English Pointer,Liver/White
A702356,,5/24/15 17:25,0,Suffering,Cat,Male,<1,Domestic Shorthair Mix,White/Blue Tabby
A676609,Buddy,7/6/14 12:46,1,,Dog,Male,<1,Labrador Retriever/Chow Chow,Brown
A693272,Kodiak,1/31/15 13:33,1,,Dog,Male,<1,Beagle/German Shepherd,Black/Brown
A711607,Bosco,9/20/15 14:50,1,,Cat,Male,<1,Manx Mix,White/Black
A658690,Priscilla,10/19/13 12:58,1,,Dog,Female,<1,Pit Bull Mix,Black/White
A708390,Stella,8/2/15 18:49,1,,Dog,Female,2,Flat Coat Retriever Mix,Black/White
A689749,Taco,10/18/14 16:55,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A699816,Pebbles,4/11/15 18:01,1,,Dog,Female,10,Chihuahua Shorthair Mix,Tan
A701791,Arwen,7/19/15 14:37,1,Foster,Cat,Female,2,Domestic Longhair Mix,Brown Tabby/White
A686406,,8/25/14 17:12,1,,Dog,Male,<1,Border Terrier/Chihuahua Shorthair,Tan/Black
A683309,,7/17/14 18:06,0,Behavior,Dog,Female,7,Pit Bull Mix,Tan/White
A640316,Kato,10/2/13 17:43,1,,Dog,Male,<1,Chihuahua Longhair Mix,Black
A682760,Jasper,7/10/14 12:48,1,,Dog,Male,<1,Jack Russell Terrier/Dachshund,White/Brown
A674448,Hedwig,3/18/14 17:04,1,,Dog,Male,<1,Siberian Husky Mix,White/Cream
A672467,Apollo,2/14/14 18:59,1,,Dog,Male,<1,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
A720860,,2/20/16 21:16,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Chocolate/White
A710881,Ruth,10/14/15 10:12,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby
A718743,Newton,1/10/16 11:36,1,,Dog,Male,2,Shih Tzu,Gray/White
A667613,Orion,1/13/14 15:18,1,,Dog,Male,<1,Australian Shepherd Mix,Tan/White
A696059,Chewy,2/5/15 14:28,1,,Dog,Male,3,Chihuahua Shorthair Mix,Tan/White
A676494,Jimmy,4/27/14 15:11,1,,Dog,Male,<1,Labrador Retriever/Border Collie,Black/White
A689138,,9/29/14 18:28,0,Suffering,Cat,Female,<1,Siamese Mix,Blue Point
A599155,Machete,3/28/15 19:25,0,Suffering,Dog,Male,4,Chihuahua Shorthair Mix,White/Brown
A665587,Cheddar,11/27/13 14:36,1,,Cat,Male,8,Domestic Medium Hair Mix,Orange Tabby
A663555,Amelia,10/16/13 17:01,1,,Cat,Female,<1,Domestic Shorthair Mix,Calico
A691345,Jelly Bean,11/9/14 14:47,1,,Dog,Female,<1,Australian Cattle Dog Mix,Brown/White
A685242,,8/15/14 12:54,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A674659,,3/21/14 17:10,0,Aggressive,Dog,Male,2,Labrador Retriever/Great Dane,Tan/Black
A685145,Mundy,9/13/14 14:10,1,Foster,Cat,Male,<1,Domestic Medium Hair Mix,Blue/White
A667537,,11/25/13 17:07,1,,Dog,Female,<1,Australian Cattle Dog Mix,Red Merle/Black
A694601,Barnaby,1/6/15 18:37,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A638060,Noah,8/16/15 17:38,1,,Cat,Male,8,Domestic Shorthair Mix,Black/White
A684664,Leo,8/10/14 17:25,1,,Dog,Male,2,Chihuahua Shorthair Mix,Brown/White
A704032,Madison,6/5/15 14:31,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A703630,Sheldon,6/30/15 7:01,1,Foster,Dog,Male,4,German Shepherd Mix,Brown
A696247,Jillian,11/22/15 13:47,1,,Dog,Female,2,Pointer Mix,Chocolate/White
A696819,Captain,2/21/15 17:30,1,,Dog,Male,<1,Cocker Spaniel Mix,Sable
A715573,,11/12/15 12:36,1,,Dog,Male,<1,Labrador Retriever Mix,Buff
A669510,Kimchi,1/1/14 18:45,1,,Dog,Female,<1,Rottweiler/Labrador Retriever,Black/Tan
A697892,Bella,3/16/15 17:38,1,Foster,Dog,Female,<1,Chihuahua Shorthair Mix,Brown/Black
A678958,Ares,5/19/14 18:05,1,,Dog,Male,<1,Boxer Mix,Tricolor
A671079,,1/25/14 18:09,1,,Dog,Female,2,Chihuahua Shorthair Mix,Tan
A687180,,9/8/14 11:53,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby/White
A691614,Challino,11/12/14 18:27,1,,Dog,Male,<1,German Shepherd/Siberian Husky,Red/White
A668803,Dumpling,1/11/14 17:42,1,Foster,Dog,Female,<1,Border Collie/Labrador Retriever,Black/White
A707611,Belle,7/31/15 12:56,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A675622,,4/4/14 15:30,1,,Dog,Male,<1,Collie Smooth/Labrador Retriever,Tricolor
A701793,,7/16/15 11:09,1,Foster,Cat,Female,<1,Siamese Mix,Lynx Point/White
A711494,Celeste,12/24/15 10:12,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby/White
A686319,Jack,6/14/15 12:01,1,,Dog,Male,5,Plott Hound/Rhod Ridgeback,Brown Brindle
A689449,Bizzy,11/18/14 11:32,1,,Cat,Female,<1,Domestic Shorthair Mix,Black
A715812,,11/15/15 18:01,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Tan/White
A715346,Molina,11/9/15 17:02,1,,Dog,Female,<1,Anatol Shepherd/Great Pyrenees,White
A695297,Sparkles,1/19/15 17:53,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A695950,Laurel,2/13/15 14:49,1,Foster,Dog,Female,2,Pit Bull Mix,Brown/White
A707887,Firefly,7/22/15 18:37,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A710227,Sebastian,8/24/15 18:23,0,Suffering,Cat,Male,12,Domestic Shorthair Mix,Black/White
A711807,Lola,10/23/15 18:07,1,,Dog,Female,2,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
A697921,Pi,3/16/15 12:10,1,,Dog,Female,<1,Flat Coat Retriever Mix,Black
A678627,Qwayzar,5/25/14 17:32,1,,Cat,Female,<1,Domestic Shorthair Mix,Calico
A690723,Friskie,11/23/14 18:23,1,,Cat,Female,<1,Domestic Longhair Mix,Black/White
A678099,Spartacus,6/10/15 17:23,0,Aggressive,Dog,Male,2,Akita/Pit Bull,Tan/White
A699927,Lennon,5/26/15 15:52,1,,Cat,Male,10,Domestic Shorthair Mix,Orange Tabby
A697627,Lucy,3/1/15 16:13,1,,Dog,Female,2,Pointer/Labrador Retriever,Chocolate/White
A685945,Cody,9/20/14 15:37,1,,Dog,Male,5,Chihuahua Shorthair Mix,Tan/White
A689951,Nelson,10/15/14 17:21,1,,Cat,Male,<1,Siamese Mix,Flame Point
A699499,,4/1/15 18:44,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A672744,Oso,4/17/14 17:09,0,Aggressive,Dog,Male,3,Rottweiler Mix,Black/Tan
A714481,Bobby,11/8/15 19:10,1,,Dog,Male,<1,Boxer Mix,Brown/White
A689596,,10/10/14 14:05,1,,Dog,Male,2,Jack Russell Terrier Mix,White/Tan
A671352,Roman,1/26/14 15:19,1,,Dog,Male,3,Labrador Retriever/Chow Chow,Brown
A705656,Rasberry,6/26/15 9:42,0,Suffering,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A695943,Tucker,2/8/15 14:55,1,,Dog,Male,2,Bernese Mountain Dog/Rottweiler,Tricolor
A678536,Tulip,5/17/14 13:44,1,,Dog,Female,<1,Chihuahua Shorthair Mix,White/Brown
A697959,Nigel,5/31/15 18:53,1,,Dog,Male,2,Pit Bull Mix,Brown
A715378,Sadie,11/21/15 11:17,1,,Dog,Female,<1,Pointer Mix,White/Blue
A697281,,3/3/15 13:14,1,,Dog,Male,<1,Chihuahua Longhair/Italian Greyhound,Tricolor
A681576,Pippin,7/7/14 16:52,1,Foster,Dog,Male,<1,Labrador Retriever/Blue Lacy,Chocolate/White
A677460,Petra,5/16/14 14:58,1,,Dog,Female,2,Pit Bull Mix,Blue/White
A710655,Cloud,10/10/15 14:30,1,,Cat,Male,<1,Siamese Mix,Lilac Point
A686377,,8/25/14 17:01,1,,Dog,Male,<1,Dachshund Wirehair Mix,Brown/Black
A679631,Callie,7/14/14 18:08,0,Suffering,Cat,Female,12,Domestic Longhair Mix,Tortie
A695654,Asha,1/27/15 14:06,0,Suffering,Dog,Female,<1,Labrador Retriever Mix,Black
A718566,Eleonora,1/12/16 9:30,0,Suffering,Cat,Female,10,Domestic Shorthair Mix,Brown Tabby/White
A680351,Oliver,7/7/14 15:39,1,,Cat,Male,<1,Domestic Medium Hair Mix,Orange Tabby
A680506,Shaka,6/7/14 17:09,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Buff/White
A714972,Dennis,11/29/15 19:00,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby
A682833,Nala,9/13/14 18:35,1,Foster,Cat,Female,<1,Siamese Mix,Lilac Point
A698953,,3/25/15 17:17,1,,Dog,Female,7,Miniature Poodle Mix,White
A696584,Pequina,3/7/15 15:46,1,,Dog,Female,2,Dachshund Mix,Brown
A716340,Tibbers,12/1/15 17:24,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A707004,Ranger,9/5/15 12:46,1,,Cat,Male,<1,Domestic Shorthair Mix,White/Orange Tabby
A667129,Marcia,12/8/13 19:11,1,,Cat,Female,<1,Domestic Shorthair Mix,Black/White
A676270,,7/12/14 17:18,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A684362,Bella,11/11/14 17:41,1,,Cat,Female,<1,Siamese Mix,Tortie Point
A663346,July,11/10/13 18:25,0,Aggressive,Dog,Female,<1,Pit Bull Mix,Black/White
A657652,Mason,6/3/14 11:47,1,,Dog,Male,3,Labrador Retriever/Chinese Sharpei,Black
A707464,Cassius,7/26/15 14:24,1,,Dog,Male,<1,Pit Bull Mix,White/Blue
A687966,,9/17/14 14:11,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A711562,Bino,9/8/15 18:00,0,Suffering,Dog,Male,<1,Dachshund/Chihuahua Shorthair,Black
A705109,,6/29/15 17:44,1,Foster,Cat,Female,<1,Domestic Longhair Mix,Blue
A689629,,10/11/14 17:05,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A713084,Haelo,10/5/15 17:41,1,,Dog,Male,6,Miniature Poodle Mix,Buff
A700335,Dorchester,7/4/15 8:56,0,Rabies Risk,Dog,Male,2,Pit Bull Mix,White/Brown
A682724,Morris,7/13/14 19:37,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black
A713886,Arthur,10/19/15 20:13,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A668396,,12/3/13 18:11,0,Medical,Cat,Male,8,Siamese Mix,Lynx Point
A668653,Chubs,11/5/15 14:23,1,,Dog,Male,2,Chihuahua Shorthair Mix,Black
A702756,,5/17/15 19:03,0,Suffering,Cat,Male,<1,Domestic Shorthair Mix,White/Brown Tabby
A674264,,3/14/14 17:56,1,,Dog,Female,<1,Jack Russell Terrier Mix,Tricolor
A716729,Hazel,12/13/15 16:21,1,,Cat,Female,<1,Domestic Shorthair Mix,Calico
A688552,Tucker,12/18/14 14:29,1,Foster,Cat,Male,<1,Domestic Longhair Mix,Brown Tabby
A698495,Nugget,3/27/15 14:39,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Tan
A658728,Tori,11/9/13 17:03,1,,Cat,Female,<1,Domestic Medium Hair Mix,Tortie/White
A707682,Sleepy,8/21/15 15:43,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A667942,Shadow,12/1/13 19:00,1,,Dog,Female,<1,Labrador Retriever Mix,Black
A697537,Annie,11/5/15 14:33,1,,Dog,Female,3,Pit Bull Mix,Black/White
A695905,Mew,1/26/15 17:48,1,,Dog,Female,<1,Border Collie Mix,Tricolor
A709277,Cameron,8/16/15 18:56,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A671435,Dusty,3/8/14 17:42,1,Foster,Dog,Male,<1,Chihuahua Shorthair Mix,Brown/Black
A673103,Chloe,3/5/14 18:40,1,,Dog,Female,3,Yorkshire Terrier/Maltese,White/Gray
A688281,Jake,4/20/15 18:48,1,,Dog,Male,<1,Rhod Ridgeback/Labrador Retriever,Red/Tan
A666109,Tom,10/30/13 14:03,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A700948,,4/22/15 16:20,0,Suffering,Dog,Unknown,9,Australian Cattle Dog/Chinese Sharpei,Tan/Brown
A689384,Lucas,11/8/14 16:21,1,,Dog,Male,<1,Labrador Retriever/Plott Hound,Brown Brindle
A671054,Alice,1/21/14 16:02,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby
A679167,,5/17/14 11:10,0,Suffering,Cat,Male,4,Domestic Shorthair Mix,Orange Tabby
A691171,Peanut,11/24/14 18:10,1,,Cat,Male,<1,Domestic Shorthair Mix,Cream Tabby
A693032,Hiddles,12/22/14 16:29,1,,Cat,Male,10,Domestic Medium Hair Mix,Orange Tabby/White
A700765,Mia,6/4/15 10:56,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Calico
A657197,Gecko,10/9/13 13:15,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A665953,,10/24/13 18:52,0,Suffering,Cat,Male,8,Domestic Medium Hair Mix,Black/White
A681155,Jeff,12/11/14 17:07,0,Suffering,Dog,Male,2,Labrador Retriever/Black Mouth Cur,Tan/White
A714509,,10/27/15 13:38,1,,Cat,Male,<1,Snowshoe Mix,Lynx Point
A702846,,5/25/15 16:52,1,,Dog,Female,<1,Chinese Sharpei/Airedale Terrier,Red
A685087,,8/2/14 9:48,0,Suffering,Cat,Unknown,<1,Domestic Shorthair Mix,Black/White
A718953,,1/13/16 17:16,1,,Dog,Male,<1,Dachshund/Chihuahua Shorthair,Black
A668708,Bob,12/27/13 15:12,1,,Cat,Male,5,Domestic Shorthair Mix,Brown Tabby/White
A717656,,12/22/15 13:04,1,,Dog,Female,3,Chihuahua Shorthair Mix,Tan
A663020,June,10/19/13 17:04,1,Foster,Dog,Female,<1,Chihuahua Shorthair Mix,Black
A717029,Smudge,12/19/15 18:39,1,,Cat,Female,2,Domestic Shorthair Mix,White
A705794,Logan,7/1/15 9:38,0,In Kennel,Cat,Male,<1,Snowshoe Mix,Seal Point
A695093,Windsor,2/19/15 18:07,1,,Dog,Male,7,Harrier,Brown/Tricolor
A670540,Snowflake,1/14/14 17:48,1,,Dog,Female,4,Miniature Poodle/Dachshund,White/White
A680245,Collaway,6/3/14 18:26,1,,Cat,Male,3,Domestic Shorthair Mix,Black
A681404,Khloe,6/28/14 13:05,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A666083,,10/26/13 16:41,0,Suffering,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A683147,Lorelai,7/13/14 17:01,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A680380,,7/11/14 16:52,0,In Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A716898,Jane,12/12/15 12:47,1,,Dog,Female,2,Labrador Retriever Mix,White/Black
A666137,Rue,11/15/13 17:50,1,,Dog,Female,12,Harrier Mix,Tricolor
A694394,Annie,1/5/15 16:38,1,,Dog,Female,2,Miniature Schnauzer Mix,Buff
A705347,Hope,7/16/15 12:23,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A688254,Coco,9/21/14 12:01,1,,Dog,Female,<1,Rottweiler Mix,Black/Brown
A710692,Lucille,8/31/15 11:10,1,,Dog,Female,<1,Mexican Hairless Mix,Tan/Black
A718492,Dexter,1/9/16 19:02,1,,Dog,Male,<1,Labrador Retriever Mix,Black/White
A689090,Riddle,10/5/14 17:42,1,,Dog,Male,<1,Redbone Hound Mix,Brown/Black
A701193,Sid,6/16/15 8:29,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black
A693761,Chico,12/18/14 18:13,1,,Dog,Male,2,Chihuahua Shorthair Mix,Brown/White
