Facility/Operator,Location,Year,Quarter,Gamma Radiation,Reported Unit,Comment
Nine Mile Point Site,Site Meteorological Tower,1996,4th,11.4,mrem/quarter,
Background,Capital District,2012,4th,24,mrem/quarter,
Indian Point, NYU Tower,2014,4th,12,mrem/quarter,
Background,Capital District,2010,4th,18,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2010,4th,18,mrem/quarter,
Indian Point, NYU Tower,2015,1st,,mrem/quarter,
West Valley Site,Dutch Hill Road,2006,1st,25.7,mrem/quarter,
West Valley Site,Heinz Road,1999,3rd,17.2,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1995,4th,18.5,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2005,4th,14.5,mrem/quarter,
West Valley Site,Thomas Corner Road,2005,2nd,27.3,mrem/quarter,
West Valley Site,Rock Spring Road,2010,2nd,26,mrem/quarter,
Ginna Station,Webster Sub-Station,1998,4th,14.4,mrem/quarter,
West Valley Site,Dutch Hill Road,1998,4th,17.4,mrem/quarter,
West Valley Site,Springville- Erie County,2014,1st,15,mrem/quarter,
Background,Capital District,2002,4th,15.8,mrem/quarter,
Ginna Station,Parking Lot,2002,3rd,10.8,mrem/quarter,
West Valley Site,Fox Valley Road,2005,1st,21.2,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2000,1st,15.7,mrem/quarter,
Indian Point, NYU Tower,1997,2nd,13.7,mrem/quarter,
Indian Point, NYU Tower,2014,1st,17,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1999,3rd,15.5,mrem/quarter,
Indian Point, Factory St. Sub-Station,2010,1st,23,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2010,1st,17,mrem/quarter,
West Valley Site,Springville- Erie County,2013,4th,,mrem/quarter,TLD not deployed for the period
Indian Point, NYU Tower,2015,3rd,27,mrem/quarter,
West Valley Site,Heinz Road,1996,2nd,15.6,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2005,4th,15.6,mrem/quarter,
Indian Point, NYU Tower,2014,2nd,,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1998,3rd,12.6,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2000,2nd,,mrem/quarter,Sample missing
Indian Point, Factory St. Sub-Station,1997,1st,,mrem/quarter,sample missing
Indian Point, Factory St. Sub-Station,2010,4th,13,mrem/quarter,
Indian Point, Factory St. Sub-Station,2012,4th,25,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1996,2nd,11.2,mrem/quarter,
Background,Capital District,1995,3rd,12.7,mrem/quarter,
Indian Point, NYU Tower,2000,1st,15.8,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1997,2nd,13.9,mrem/quarter,
Indian Point, Factory St. Sub-Station,2001,3rd,11.7,mrem/quarter,
Background,Capital District,1999,1st,14.8,mrem/quarter,
West Valley Site,Dutch Hill Road,2000,2nd,15,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1996,2nd,11.5,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1999,3rd,13.8,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2002,1st,13,mrem/quarter,
Indian Point, Broadway & Bleakly,2014,1st,16,mrem/quarter,
Ginna Station,Webster Sub-Station,2001,2nd,10.5,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2012,3rd,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
Indian Point, NYU Tower,2013,3rd,11,mrem/quarter,
Ginna Station,Training Center,2008,1st,19.7,mrem/quarter,
West Valley Site,Thomas Corner Road,2012,2nd,15,mrem/quarter,
West Valley Site,Dutch Hill Road,2011,4th,29,mrem/quarter,
West Valley Site,Thomas Corner Road,1996,4th,17.8,mrem/quarter,
Ginna Station,Training Center,1996,4th,13.7,mrem/quarter,
West Valley Site,Heinz Road,1999,1st,23.8,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1996,1st,15.1,mrem/quarter,
West Valley Site,Rock Spring Road,2007,3rd,38.3,mrem/quarter,
Indian Point, Factory St. Sub-Station,1995,2nd,12.5,mrem/quarter,
"Shoreham, Suffolk County",Defence Hill Road,1995,3rd,11,mrem/quarter,
Indian Point, Factory St. Sub-Station,1997,3rd,13.1,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2011,1st,35,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2011,2nd,17,mrem/quarter,change in TLD vendor; midway through quarter
West Valley Site,Thomas Corner Road,2001,2nd,13,mrem/quarter,
Indian Point, Factory St. Sub-Station,2010,2nd,,mrem/quarter,sample missing
West Valley Site,Dutch Hill & Schrartz Road,1997,4th,14.4,mrem/quarter,
Ginna Station,Training Center,2008,4th,19.4,mrem/quarter,
Ginna Station,Webster Sub-Station,2004,4th,24.8,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2007,1st,9.5,mrem/quarter,
West Valley Site,Dutch Hill Road,2008,3rd,26.8,mrem/quarter,
West Valley Site,Fox Valley Road,2010,2nd,26,mrem/quarter,
West Valley Site,Springville- Erie County,2001,3rd,12.1,mrem/quarter,
Indian Point, NYU Tower,1999,4th,17.2,mrem/quarter,
West Valley Site,Thomas Corner Road,2010,3rd,26,mrem/quarter,
West Valley Site,Springville- Erie County,2000,1st,16.6,mrem/quarter,
Ginna Station,Training Center,2013,3rd,9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Maintenance Garage,1995,1st,16.2,mrem/quarter,
West Valley Site,Fox Valley Road,2001,3rd,12.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2007,2nd,18.9,mrem/quarter,
Indian Point, NYU Tower,2004,2nd,26.6,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Ginna Station,Training Center,2007,1st,15.1,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1995,3rd,11.3,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2000,1st,15.9,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2004,4th,17.7,mrem/quarter,
West Valley Site,Heinz Road,2006,1st,25.1,mrem/quarter,
West Valley Site,Rock Spring Road,2001,3rd,15.7,mrem/quarter,
Ginna Station,Webster Sub-Station,2008,1st,16.7,mrem/quarter,
Ginna Station,Parking Lot,2007,1st,10.3,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2000,2nd,13.9,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1996,1st,13,mrem/quarter,
West Valley Site,Rock Spring Road,1996,1st,19.4,mrem/quarter,
Ginna Station,Webster Sub-Station,2005,1st,19,mrem/quarter,
West Valley Site,Rock Spring Road,1998,1st,19.4,mrem/quarter,
West Valley Site,Thomas Corner Road,2001,4th,14.7,mrem/quarter,
West Valley Site,Thomas Corner Road,2007,2nd,24.2,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2009,4th,19,mrem/quarter,
Indian Point, Factory St. Sub-Station,2014,2nd,,mrem/quarter,
"Shoreham, Suffolk County",Randell Road,1995,2nd,11.5,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1996,3rd,12.8,mrem/quarter,
West Valley Site,Rock Spring Road,1997,1st,18.7,mrem/quarter,
Ginna Station,Webster Sub-Station,2001,1st,13.7,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1996,3rd,14.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2008,3rd,18.1,mrem/quarter,
West Valley Site,Springville- Erie County,1997,1st,14.9,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1999,1st,13.6,mrem/quarter,
Indian Point, Broadway & Bleakly,2014,2nd,,mrem/quarter,
West Valley Site,Heinz Road,2003,2nd,14.4,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2013,4th,,mrem/quarter,TLD not deployed for the period
Indian Point, NYU Tower,1996,1st,13.4,mrem/quarter,
West Valley Site,Dutch Hill Road,2007,3rd,32,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2002,3rd,16.6,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2012,4th,22,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1997,3rd,14.2,mrem/quarter,
West Valley Site,Thomas Corner Road,2001,1st,13.4,mrem/quarter,
West Valley Site,Rock Spring Road,2008,2nd,26.5,mrem/quarter,
West Valley Site,Springville- Erie County,2011,3rd,23,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2012,3rd,19,mrem/quarter,
Indian Point, Broadway & Bleakly,2014,3rd,,mrem/quarter,
Ginna Station,Parking Lot,2014,3rd,,mrem/quarter,
Ginna Station,Webster Sub-Station,2008,2nd,17.5,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1995,4th,11.8,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2012,1st,15,mrem/quarter,
West Valley Site,Springville- Erie County,2013,2nd,35,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
West Valley Site,Springville- Erie County,2002,2nd,14,mrem/quarter,
Ginna Station,Training Center,1996,2nd,14.1,mrem/quarter,
West Valley Site,Heinz Road,2007,4th,32.3,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2005,3rd,28.3,mrem/quarter,
Indian Point, Factory St. Sub-Station,2002,4th,14.4,mrem/quarter,
West Valley Site,Fox Valley Road,2001,4th,14.4,mrem/quarter,
Background,Capital District,1998,4th,16.9,mrem/quarter,
West Valley Site,Dutch Hill Road,1997,1st,15.5,mrem/quarter,
Ginna Station,Training Center,2003,3rd,12.4,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1997,1st,18.1,mrem/quarter,
Background,Capital District,2013,4th,22,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1997,2nd,13.2,mrem/quarter,
Ginna Station,Webster Sub-Station,2002,4th,15.3,mrem/quarter,
West Valley Site,Fox Valley Road,2008,1st,23.7,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2009,2nd,25.9,mrem/quarter,
Ginna Station,Parking Lot,2004,4th,23.2,mrem/quarter,
West Valley Site,Thomas Corner Road,1997,3rd,16.6,mrem/quarter,
West Valley Site,Thomas Corner Road,2008,1st,24.7,mrem/quarter,
West Valley Site,Thomas Corner Road,1999,3rd,17,mrem/quarter,
Indian Point, Broadway & Bleakly,1997,4th,13.6,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2005,1st,14,mrem/quarter,
Indian Point, NYU Tower,2008,3rd,20.3,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2013,1st,,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Long Meadow Road,1996,2nd,13.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2009,1st,685.6,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fox Valley Road,2006,1st,27.8,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1996,3rd,11,mrem/quarter,
Ginna Station,Parking Lot,2001,3rd,10.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1996,3rd,505.6,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Dutch Hill Road,2009,1st,24.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2009,4th,19,mrem/quarter,
West Valley Site,Dutch Hill Road,2001,2nd,14.4,mrem/quarter,
Indian Point, Factory St. Sub-Station,2013,3rd,12,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1999,4th,16.8,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1999,4th,461.9,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Route 240 Zefer's Farm,2011,3rd,22,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2000,4th,10.3,mrem/quarter,
Ginna Station,Training Center,1999,4th,17.2,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2012,4th,22,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2001,2nd,11.4,mrem/quarter,
West Valley Site,Rock Spring Road,1995,1st,17.6,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2011,4th,25,mrem/quarter,
West Valley Site,Heinz Road,1996,1st,14.1,mrem/quarter,
West Valley Site,Springville- Erie County,2000,3rd,19.6,mrem/quarter,
Indian Point, NYU Tower,2006,4th,24.3,mrem/quarter,
West Valley Site,Dutch Hill Road,2006,3rd,25,mrem/quarter,
Ginna Station,Training Center,2012,4th,24,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1999,4th,18,mrem/quarter,
Ginna Station,Training Center,2003,1st,14.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1997,1st,493.7,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Ginna Station,Training Center,2010,2nd,17,mrem/quarter,
Indian Point, Factory St. Sub-Station,2006,2nd,23.6,mrem/quarter,
Indian Point, Factory St. Sub-Station,2003,4th,15.9,mrem/quarter,
Ginna Station,Parking Lot,1997,3rd,14.3,mrem/quarter,
Indian Point, NYU Tower,2014,3rd,,mrem/quarter,
Ginna Station,Webster Sub-Station,2011,1st,35,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1997,1st,13.8,mrem/quarter,
West Valley Site,Springville- Erie County,1996,3rd,13.6,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2006,4th,19.2,mrem/quarter,
Indian Point, Broadway & Bleakly,2001,1st,14.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2003,3rd,12.8,mrem/quarter,
Ginna Station,Webster Sub-Station,1996,3rd,12.1,mrem/quarter,
West Valley Site,Rock Spring Road,2010,4th,17,mrem/quarter,
Ginna Station,Parking Lot,2004,1st,14.9,mrem/quarter,
West Valley Site,Springville- Erie County,1997,2nd,17.7,mrem/quarter,
Indian Point, Broadway & Bleakly,2006,2nd,24.2,mrem/quarter,
Ginna Station,Parking Lot,1997,2nd,12.1,mrem/quarter,
Background,Capital District,2005,3rd,17.2,mrem/quarter,
Background,Capital District,1997,4th,14.2,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2006,3rd,21.4,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2010,4th,16,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1999,2nd,11.5,mrem/quarter,
Indian Point, Factory St. Sub-Station,1999,2nd,11.8,mrem/quarter,
West Valley Site,Fox Valley Road,1996,2nd,14.9,mrem/quarter,
Ginna Station,Training Center,1998,4th,15.4,mrem/quarter,
West Valley Site,Rock Spring Road,2004,3rd,29.9,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2005,4th,25.3,mrem/quarter,
Ginna Station,Webster Sub-Station,2007,3rd,24.6,mrem/quarter,
Indian Point, Broadway & Bleakly,2005,4th,18.8,mrem/quarter,
West Valley Site,Heinz Road,2005,2nd,26.5,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1998,3rd,16.1,mrem/quarter,
West Valley Site,Fox Valley Road,2000,4th,14,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2004,2nd,24.3,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Indian Point, Factory St. Sub-Station,1999,4th,16.7,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2002,4th,418.8,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Route 240 Zefer's Farm,2012,4th,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
West Valley Site,Dutch Hill & Schrartz Road,2008,2nd,27.7,mrem/quarter,
Indian Point, NYU Tower,1995,3rd,13.2,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2001,2nd,10.3,mrem/quarter,
West Valley Site,Heinz Road,2012,3rd,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
Indian Point, Factory St. Sub-Station,2007,1st,10.7,mrem/quarter,
Indian Point, NYU Tower,1995,1st,14.7,mrem/quarter,
Indian Point, NYU Tower,2006,2nd,26.3,mrem/quarter,
Indian Point, NYU Tower,1997,3rd,14.3,mrem/quarter,
West Valley Site,Rock Spring Road,1998,3rd,,mrem/quarter,Sample missing
Nine Mile Point Site,Site Meteorological Tower,2012,2nd,14,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Maintenance Garage,1997,4th,15.2,mrem/quarter,monitoring discontinued at end of 1997
Nine Mile Point Site,Lakeview Road,2000,2nd,12,mrem/quarter,
West Valley Site,Rock Spring Road,2014,1st,16,mrem/quarter,
Indian Point, NYU Tower,1999,1st,14.8,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2005,2nd,25.8,mrem/quarter,
Indian Point, Factory St. Sub-Station,1999,3rd,14,mrem/quarter,
Indian Point, NYU Tower,1999,3rd,16.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2010,4th,449,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Thomas Corner Road-Emerson Farm,2004,3rd,26.8,mrem/quarter,
Indian Point, Broadway & Bleakly,2012,1st,15,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2007,3rd,17.7,mrem/quarter,
Ginna Station,Parking Lot,2003,2nd,13.8,mrem/quarter,
West Valley Site,Dutch Hill Road,2012,4th,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
West Valley Site,Thomas Corner Road,2009,2nd,29.4,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2009,4th,17,mrem/quarter,
West Valley Site,Heinz Road,2000,4th,14.6,mrem/quarter,
West Valley Site,Rock Spring Road,2002,3rd,17.4,mrem/quarter,
West Valley Site,Heinz Road,1998,4th,15.7,mrem/quarter,
West Valley Site,Thomas Corner Road,1999,1st,16.9,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2010,3rd,24,mrem/quarter,
Ginna Station,Training Center,2004,2nd,28.4,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Nine Mile Point Site,County Route 29 and 1A,2002,2nd,13.3,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2013,4th,21,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2002,1st,16.5,mrem/quarter,
West Valley Site,Heinz Road,1998,3rd,16.4,mrem/quarter,
Ginna Station,Parking Lot,1995,4th,,mrem/quarter,Sample missing
West Valley Site,Dutch Hill & Schrartz Road,2009,3rd,28,mrem/quarter,change in TLD vendor
West Valley Site,Rock Spring Road,2007,2nd,48.5,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1999,4th,16.8,mrem/quarter,
Ginna Station,Webster Sub-Station,2002,3rd,10.5,mrem/quarter,
West Valley Site,Springville- Erie County,2005,1st,23.2,mrem/quarter,
West Valley Site,Rock Spring Road,1997,2nd,18.5,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2009,3rd,22,mrem/quarter,change in TLD vendor
Nine Mile Point Site,Lakeview Road,2008,4th,18.8,mrem/quarter,
West Valley Site,Dutch Hill Road,2012,3rd,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
Indian Point, Factory St. Sub-Station,2013,1st,,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2001,1st,11.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2013,3rd,8,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1995,2nd,10.7,mrem/quarter,
Ginna Station,Parking Lot,2006,1st,20.7,mrem/quarter,
West Valley Site,Springville- Erie County,1998,4th,17.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2011,3rd,21,mrem/quarter,
Background,Capital District,2011,2nd,17,mrem/quarter,change in TLD vendor; midway through quarter
Indian Point, NYU Tower,2011,2nd,20,mrem/quarter,change in TLD vendor; midway through quarter
Nine Mile Point Site,County Route 29 and 1A,2012,4th,23,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2004,3rd,17.2,mrem/quarter,
Indian Point, Factory St. Sub-Station,2003,3rd,13.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2007,3rd,19.3,mrem/quarter,
Ginna Station,Parking Lot,2007,2nd,16.6,mrem/quarter,
Ginna Station,Webster Sub-Station,2001,4th,14.2,mrem/quarter,
Indian Point, NYU Tower,2015,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2009,1st,18.4,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1997,2nd,15.9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1997,3rd,18.1,mrem/quarter,
Ginna Station,Webster Sub-Station,2002,2nd,12.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2006,4th,615.4,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Ginna Station,Webster Sub-Station,2007,4th,24.9,mrem/quarter,
Background,Capital District,2006,1st,20.1,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2009,4th,21,mrem/quarter,
West Valley Site,Dutch Hill Road,2010,2nd,26,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2011,4th,30,mrem/quarter,
West Valley Site,Rock Spring Road,2013,2nd,39,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
Indian Point, NYU Tower,2013,1st,,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2000,3rd,,mrem/quarter,Sample missing
Nine Mile Point Site,Site Meteorological Tower,2005,2nd,17.4,mrem/quarter,
Indian Point, Factory St. Sub-Station,2008,1st,18.6,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2008,4th,18.3,mrem/quarter,
Ginna Station,Training Center,1995,3rd,13.7,mrem/quarter,
West Valley Site,Heinz Road,2008,1st,24.4,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2008,2nd,17.6,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2002,3rd,12.5,mrem/quarter,
West Valley Site,Dutch Hill Road,2002,1st,14.6,mrem/quarter,
Ginna Station,Parking Lot,2013,3rd,16,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Long Meadow Road,1997,3rd,14.9,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1995,3rd,12.8,mrem/quarter,
West Valley Site,Springville- Erie County,2003,1st,14.9,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1996,2nd,14.2,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2006,4th,20.6,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2013,3rd,,mrem/quarter,TLD not deployed for the period
Nine Mile Point Site,County Route 29 and 1A,2004,4th,19.3,mrem/quarter,
Ginna Station,Webster Sub-Station,2016,3rd,,mrem/quarter,
Indian Point, Factory St. Sub-Station,1995,4th,14.7,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2005,4th,729.9,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Indian Point, NYU Tower,2003,2nd,14.2,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2010,3rd,25,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2002,3rd,15,mrem/quarter,
West Valley Site,Heinz Road,2008,3rd,26.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2008,1st,654.3,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Ginna Station,Training Center,2001,4th,15.4,mrem/quarter,
Indian Point, Broadway & Bleakly,1997,2nd,13.4,mrem/quarter,
Indian Point, Factory St. Sub-Station,2009,2nd,16.9,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2009,2nd,24.6,mrem/quarter,
Ginna Station,Parking Lot,2011,3rd,18,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2012,2nd,16,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2008,2nd,25.4,mrem/quarter,
West Valley Site,Springville- Erie County,1999,4th,17.6,mrem/quarter,
